City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
207,Basoko,CD,70.3,overcast clouds,1.2391,23.616,Jackyna Hotel
210,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
223,Abu Zabad,SD,77.54,few clouds,12.35,29.25,حامد محمد نور
233,Kidal,ML,76.32,clear sky,18.4411,1.4078,
235,Hambantota,LK,77.34,overcast clouds,6.1241,81.1185,Bungalow 63
237,Ponta Do Sol,PT,73.0,light rain,32.6667,-17.1,Hotel do Campo
241,Bandarbeyla,SO,77.36,light rain,9.4942,50.8122,JABIR HOTEL
242,Sao Jose Da Coroa Grande,BR,74.25,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
243,Airai,TL,77.07,broken clouds,-8.9266,125.4092,
245,Gat,IL,71.4,broken clouds,31.61,34.7642,OlusHome
265,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
266,Porto Santo,PT,70.18,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
269,Beira,MZ,71.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
273,Kyabe,TD,72.25,overcast clouds,9.4515,18.9449,
274,Caxito,AO,75.6,overcast clouds,-8.5785,13.6643,
288,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
289,Aracoiaba,BR,74.95,broken clouds,-4.3711,-38.8142,Bar Redondo e Pousada
291,Soller,ES,70.86,overcast clouds,39.7662,2.7152,Hotel Marina & Wellness Spa
293,Itaituba,BR,75.78,broken clouds,-4.2761,-55.9836,Hotel Campos
297,Tessalit,ML,75.78,few clouds,20.1986,1.0114,
303,Quatre Cocos,MU,71.1,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
305,Ouegoa,NC,77.52,overcast clouds,-20.35,164.4333,
307,Pontes E Lacerda,BR,73.78,overcast clouds,-15.2261,-59.3353,Hotel Bressan
313,Ulladulla,AU,70.7,light rain,-35.35,150.4667,Sandpiper Motel
314,Dhenkanal,IN,75.29,clear sky,20.6667,85.6,Sai Residency
329,Upington,ZA,73.78,clear sky,-28.4478,21.2561,River Place Manor
333,Ruteng,ID,77.43,broken clouds,-8.6136,120.4721,Hotel FX 72
334,Cap Malheureux,MU,71.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
335,Garowe,SO,74.07,few clouds,8.4054,48.4845,Curubo Hotel
337,Lompoc,US,72.01,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
338,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
348,Wanning,CN,76.75,overcast clouds,18.8003,110.3967,Paradise Hotel
349,Rockport,US,72.01,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
354,Tamandare,BR,74.08,clear sky,-8.7597,-35.1047,Pousada 100 Passos
357,Alta Floresta,BR,73.11,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
364,Byron Bay,AU,73.36,moderate rain,-28.65,153.6167,Backpackers Inn
366,Toamasina,MG,70.0,overcast clouds,-18.1667,49.3833,Hotel H1
369,Sibolga,ID,77.67,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
372,Ondjiva,AO,76.51,overcast clouds,-17.0667,15.7333,COMBUESA
375,Sukuta,GM,77.02,scattered clouds,13.4103,-16.7082,Hotel Janta Bi
379,Gouloure,BF,77.34,scattered clouds,12.2306,-1.9289,
381,Lethem,GY,77.2,light rain,3.3803,-59.7968,Savannah Inn
389,Ibra,OM,76.8,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
390,Takoradi,GH,76.6,light rain,4.8845,-1.7554,Raybow International Hotel
391,Nelson Bay,AU,70.0,moderate rain,-32.7167,152.15,Mantra Nelson Bay
