City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Durres,AL,41.3231,19.4414,44.78,51,6,3.91,clear sky
134,Flinders,AU,-34.5833,150.8552,70.88,86,100,7.02,light rain
135,Iqaluit,CA,63.7506,-68.5145,35.33,87,100,11.5,overcast clouds
136,Alugan,PH,12.2188,125.4808,85.69,68,95,6.44,overcast clouds
137,Beringovskiy,RU,63.05,179.3167,36.97,81,81,7.9,broken clouds
138,Sorland,NO,67.667,12.6934,40.86,75,100,8.97,overcast clouds
139,Kloulklubed,PW,7.0419,134.2556,81.61,76,100,5.84,overcast clouds
140,Ngunguru,NZ,-35.6167,174.5,63.54,57,100,6.04,overcast clouds
141,Hilo,US,19.7297,-155.09,83.93,72,75,11.5,broken clouds
142,Port Lincoln,AU,-34.7333,135.8667,69.31,53,34,10.16,scattered clouds
143,Soverato,IT,38.685,16.5499,62.15,79,0,1.5,clear sky
144,Magugu,TZ,-4.0167,35.7667,62.08,81,100,1.16,overcast clouds
145,Ostrovnoy,RU,68.0531,39.5131,36.41,68,100,29.71,light rain
146,Margate,GB,51.3813,1.3862,60.91,96,79,3.0,broken clouds
147,Bang Saphan,TH,11.2126,99.5117,79.27,90,100,2.28,light rain
148,Davila,PH,18.4726,120.5763,80.58,88,100,15.39,light rain
149,Belaya Gora,RU,68.5333,146.4167,13.93,90,100,12.46,overcast clouds
150,Pochutla,MX,15.7432,-96.4661,76.82,92,100,3.78,overcast clouds
151,Eyl,SO,7.9803,49.8164,77.22,86,14,8.14,few clouds
152,Lashio,MM,22.9333,97.75,77.23,58,1,0.4,clear sky
153,Yeppoon,AU,-23.1333,150.7333,80.38,74,94,10.89,overcast clouds
154,Cherskiy,RU,68.75,161.3,12.27,93,72,6.31,broken clouds
155,Saint George,US,37.1041,-113.5841,73.99,26,0,6.91,clear sky
156,Mount Holly,US,35.2982,-81.0159,49.95,82,0,3.44,clear sky
157,Sambava,MG,-14.2667,50.1667,67.5,84,9,7.45,clear sky
158,Avarua,CK,-21.2078,-159.775,77.05,83,75,12.66,broken clouds
159,Erzin,TR,36.9559,36.2,65.3,85,14,2.06,few clouds
160,Scarborough,GB,54.2797,-0.4044,53.65,92,51,8.99,broken clouds
161,Khasan,RU,42.4308,130.6434,61.56,46,64,1.19,broken clouds
162,Rayagada,IN,19.1667,83.4167,75.97,74,7,3.38,clear sky
163,Cape Coast,GH,5.1053,-1.2466,77.11,87,16,6.53,few clouds
164,Lagoa,PT,39.05,-27.9833,64.72,62,61,15.1,broken clouds
165,Soe,ID,-9.8607,124.284,86.02,43,52,3.58,broken clouds
166,Sakakah,SA,29.9697,40.2064,72.97,31,17,4.56,few clouds
167,Punay,PH,5.9614,121.1981,84.99,70,100,4.83,overcast clouds
168,Kruisfontein,ZA,-34.0033,24.7314,55.06,87,94,3.51,overcast clouds
169,Mwense,ZM,-10.3845,28.698,72.12,40,83,4.14,broken clouds
170,Vila Velha,BR,-20.3297,-40.2925,75.15,86,75,6.91,broken clouds
171,Qianjiang,CN,30.4151,112.8859,64.74,55,100,2.26,overcast clouds
